tanggal_pemesanan,nomor_kontrak_retail,pelanggan,jenis,nama_proyek,product,area,nilai,status
7/29/2019,SO/U1-1/07-2019/1599,Plg 12358674,Perorangan,Pry rdmx0798,K-300,Cakung,16409250,Approved
7/29/2019,SO/U1-1/07-2019/1600,Plg 12358746,Perorangan,Pry rdm097x8,K-225,Cakung,3575000,Approved
7/29/2019,SO/U1-1/07-2019/1604,Plg 12358764,PT,Pry rdm0978x,K-350 N,Cakung,245999820,Approved
7/30/2019,SO/U1-1/07-2019/1612,Plg 12358674,Perorangan,Pry rdmx0798,K-300,Cakung,22790625,Approved
7/30/2019,SO/U1-1/07-2019/1613,Plg 12358467,PT,Pry rdm098x7,K-350,Pulo Gadung,7994250,Approved
7/31/2019,SO/U1-1/07-2019/1614,Plg 12364578,PT,Pry rdm08x97,K-225,Cakung,3575000,Approved
7/31/2019,SO/U1-1/07-2019/1615,Plg 12364587,Perorangan,Pry rdm08x79,K-225,Pulo Gadung,8266500,Approved
7/31/2019,SO/U1-1/07-2019/1616,Plg 12364758,PT,Pry rdm089x7,K-350 N,Cakung,14745500,Approved
8/8/2018,SO/U1-1/08-2018/088,Plg 12364785,Perorangan,Pry rdm0897x,K-225,Pulo Gadung,6996000,Approved
8/8/2018,SO/U1-1/08-2018/092,Plg 12364857,Perorangan,Pry rdm087x9,B0-0,Pulo Gadung,50242500,Approved
8/1/2018,SO/U1-1/08-2018/103,Plg 12364857,Perorangan,Pry rdm0879x,K-250 N,Pulo Gadung,199645875,Approved
8/9/2018,SO/U1-1/08-2018/106,Plg 12364875,PT,Pry rdm07x98,K-250,Pulo Gadung,25918750,Approved
8/9/2018,SO/U1-1/08-2018/107,Plg 12364875,PT,Pry rdm07x98,K-250,Pulo Gadung,10367500,Approved
7/31/2018,SO/U1-1/08-2018/108,Plg 12364875,PT,Pry rdm07x98,K-250,Pulo Gadung,20735000,Approved
7/31/2018,SO/U1-1/08-2018/109,Plg 12365478,PT,Pry rdm07x89,K-250,Pulo Gadung,7095000,Approved
8/9/2018,SO/U1-1/08-2018/123,Plg 12365487,PT,Pry rdm079x8,K-250,Pulo Gadung,29411250,Approved
8/9/2018,SO/U1-1/08-2018/124,Plg 12365487,PT,Pry rdm079x8,K-250,Pulo Gadung,42693750,Approved
8/9/2018,SO/U1-1/08-2018/126,Plg 12365487,PT,Pry rdm079x8,K-250,Pulo Gadung,42693750,Approved
8/9/2018,SO/U1-1/08-2018/127,Plg 12365487,PT,Pry rdm079x8,K-250,Pulo Gadung,47437500,Approved
8/9/2018,SO/U1-1/08-2018/128,Plg 12365487,PT,Pry rdm079x8,K-300,Pulo Gadung,33660000,Approved
8/10/2018,SO/U1-1/08-2018/146,Plg 12365748,PT,Pry rdm0798x,B0-0,Pulo Gadung,83737500,Approved
8/10/2018,SO/U1-1/08-2018/147,Plg 12365748,PT,Pry rdm0798x,K-250 N,Pulo Gadung,243403875,Approved
8/10/2018,SO/U1-1/08-2018/150,Plg 12365784,Perorangan,Pry rdm078x9,K-250 N,Pulo Gadung,44343750,Approved
8/10/2018,SO/U1-1/08-2018/151,Plg 12365784,Perorangan,Pry rdm078x9,K-250 N,Pulo Gadung,70063125,Approved
8/10/2018,SO/U1-1/08-2018/156,Plg 12365847,Perorangan,Pry rdm0789x,K-300,Pulo Gadung,112860000,Approved
8/10/2018,SO/U1-1/08-2018/161,Plg 12365748,PT,Pry rdm9x087,K-250 N,Pulo Gadung,120334500,Approved
8/10/2018,SO/U1-1/08-2018/165,Plg 12365748,PT,Pry rdm9x087,B0-0,Pulo Gadung,13398000,Approved
8/13/2018,SO/U1-1/08-2018/193,Plg 12365748,PT,Pry rdm9x078,K-250 N,Pulo Gadung,16409250,Approved
8/13/2018,SO/U1-1/08-2018/194,Plg 12365748,PT,Pry rdm9x087,K-250 N,Pulo Gadung,63813750,Approved
8/13/2018,SO/U1-1/08-2018/195,Plg 12365748,PT,Pry rdm9x087,B0-0,Pulo Gadung,17584875,Approved
8/14/2018,SO/U1-1/08-2018/220,Plg 12365748,PT,Pry rdm9x087,K-250 N,Pulo Gadung,63813750,Approved
8/14/2018,SO/U1-1/08-2018/222,Plg 12365748,PT,Pry rdm9x087,B0-0,Pulo Gadung,17584875,Approved
8/14/2018,SO/U1-1/08-2018/227,Plg 12365874,PT,Pry rdm087x9,B0-0,Pulo Gadung,50242500,Approved
8/14/2018,SO/U1-1/08-2018/229,Plg 12367458,Perorangan,Pry rdm9x807,K-300,Pulo Gadung,4558125,Approved
8/14/2018,SO/U1-1/08-2018/231,Plg 12367485,PT,Pry rdm9x870,K-300,Pulo Gadung,25300000,Approved
8/14/2018,SO/U1-1/08-2018/232,Plg 12367485,PT,Pry rdm9x870,K-300,Pulo Gadung,5566000,Approved
8/15/2018,SO/U1-1/08-2018/281,Plg 12367548,PT,Pry rdm9x708,K-225 N,Cakung,42487500,Approved
8/15/2018,SO/U1-1/08-2018/282,Plg 12367548,PT,Pry rdm9x708,K-300 N,Cakung,39270000,Approved
8/15/2018,SO/U1-1/08-2018/283,Plg 12367548,PT,Pry rdm9x708,K-300 N,Cakung,18232500,Approved
8/15/2018,SO/U1-1/08-2018/284,Plg 12367584,Perorangan,Pry rdm9x780,K-250,Cakung,9363750,Approved
8/15/2018,SO/U1-1/08-2018/289,Plg 12367584,Perorangan,Pry rdm9x780,K-250,Cakung,18727500,Approved
8/15/2018,SO/U1-1/08-2018/291,Plg 12367845,PT,Pry rdm90x87,K-300 N,Cakung,47093750,Approved
8/15/2018,SO/U1-1/08-2018/292,Plg 12367845,PT,Pry rdm90x87,K-225 N,Cakung,11708125,Approved
8/15/2018,SO/U1-1/08-2018/293,Plg 12367845,PT,Pry rdm90x87,K-225 N,Cakung,13509375,Approved
8/15/2018,SO/U1-1/08-2018/294,Plg 12367845,PT,Pry rdm90x87,K-250 N,Cakung,9143750,Approved
8/15/2018,SO/U1-1/08-2018/295,Plg 12367854,Perorangan,Pry rdm90x78,K-450,Cakung,8294000,Approved
8/16/2018,SO/U1-1/08-2018/300,Plg 12368457,PT,Pry rdm908x7,K-300 N,Cakung,41492000,Approved
8/16/2018,SO/U1-1/08-2018/301,Plg 12368457,PT,Pry rdm908x7,K-300 N,Cakung,41492000,Approved
8/16/2018,SO/U1-1/08-2018/302,Plg 12368457,PT,Pry rdm908x7,K-300 N,Cakung,16192000,Approved
8/1/2018,SO/U1-1/08-2018/304,Plg 12368457,PT,Pry rdm908x7,K-300,Cakung,14437500,Approved
8/16/2018,SO/U1-1/08-2018/309,Plg 12368475,PT,Pry rdm9087x,K-250,Pulo Gadung,6227375,Approved
8/16/2018,SO/U1-1/08-2018/310,Plg 12368547,Perorangan,Pry rdm907x8,K-250,Pulo Gadung,12512500,Approved
8/16/2018,SO/U1-1/08-2018/312,Plg 12368574,Perorangan,Pry rdm0x879,K-300 N,Pulo Gadung,69973750,Approved
8/16/2018,SO/U1-1/08-2018/315,Plg 12368574,Perorangan,Pry rdm0x879,K-300 N,Pulo Gadung,59977500,Approved
8/16/2018,SO/U1-1/08-2018/320,Plg 12368457,PT,Pry rdm908x7,K-300,Cakung,14437500,Approved
8/16/2018,SO/U1-1/08-2018/321,Plg 12368457,PT,Pry rdm9078x,K-175,Cakung,1749000,Approved
8/16/2018,SO/U1-1/08-2018/323,Plg 12368457,PT,Pry rdm9078x,K-400 N,Cakung,32587500,Approved
8/16/2018,SO/U1-1/08-2018/324,Plg 12368457,PT,Pry rdm9078x,K-400 N,Cakung,3258750,Approved
8/16/2018,SO/U1-1/08-2018/325,Plg 12364578,PT,Pry rdm08x97,K-225,Cakung,2681250,Approved
8/16/2018,SO/U1-1/08-2018/330,Plg 12368745,Perorangan,Pry rdm98x07,K-250,Cakung,33687500,Approved
8/16/2018,SO/U1-1/08-2018/332,Plg 12368754,PT,Pry rdm98x70,K-350,Cakung,26730000,Approved
8/16/2018,SO/U1-1/08-2018/336,Plg 12368754,PT,Pry rdm98x70,K-350,Cakung,17820000,Approved
8/16/2018,SO/U1-1/08-2018/337,Plg 12368754,PT,Pry rdm98x70,K-350,Cakung,10890000,Approved
8/20/2018,SO/U1-1/08-2018/371,Plg 12374568,Perorangan,Pry rdm980x7,K-350,Cakung,92125000,Approved
8/20/2018,SO/U1-1/08-2018/372,Plg 12374568,Perorangan,Pry rdm980x7,K-350,Cakung,92125000,Approved
8/21/2018,SO/U1-1/08-2018/403,Plg 12374586,Perorangan,Pry rdm9807x,K-250,Pulo Gadung,15741000,Approved
8/21/2018,SO/U1-1/08-2018/404,Plg 12374658,PT,Pry rdm987x0,K-350,Pulo Gadung,30937500,Approved
8/21/2018,SO/U1-1/08-2018/405,Plg 12374658,PT,Pry rdm987x0,K-350,Pulo Gadung,6187500,Approved
8/21/2018,SO/U1-1/08-2018/406,Plg 12365478,PT,Pry rdm07x89,B0-0,Pulo Gadung,5861625,Approved
8/21/2018,SO/U1-1/08-2018/407,Plg 12365478,PT,Pry rdm07x89,K-450,Pulo Gadung,51053750,Approved
8/21/2018,SO/U1-1/08-2018/408,Plg 12374685,Perorangan,Pry rdm9870x,K-300,Pulo Gadung,20625000,Approved
8/21/2018,SO/U1-1/08-2018/409,Plg 12374685,Perorangan,Pry rdm9870x,K-300,Pulo Gadung,6187500,Approved
8/23/2018,SO/U1-1/08-2018/411,Plg 12374856,Perorangan,Pry rdm97x08,K-275,Pulo Gadung,32628750,Approved
8/23/2018,SO/U1-1/08-2018/412,Plg 12374856,Perorangan,Pry rdm97x08,K-275,Pulo Gadung,1900250,Approved
8/23/2018,SO/U1-1/08-2018/413,Plg 12374865,Perorangan,Pry rdm089x7,K-300,Pulo Gadung,5469750,Approved
8/23/2018,SO/U1-1/08-2018/414,Plg 12374865,Perorangan,Pry rdm089x7,K-300,Pulo Gadung,911625,Approved
8/23/2018,SO/U1-1/08-2018/415,Plg 12375468,Perorangan,Pry rdm97x80,K-300,Cakung,911625,Approved
8/23/2018,SO/U1-1/08-2018/416,Plg 12375486,PT,Pry rdm970x8,K-250,Pulo Gadung,34155000,Approved
8/23/2018,SO/U1-1/08-2018/417,Plg 12375648,Perorangan,Pry rdm9708x,K-300,Pulo Gadung,26358750,Approved
8/23/2018,SO/U1-1/08-2018/418,Plg 12375684,Perorangan,Pry rdm978x0,K-250,Pulo Gadung,6294750,Approved
8/24/2018,SO/U1-1/08-2018/426,Plg 12375846,Perorangan,Pry rdm9780x,K-275,Pulo Gadung,7898000,Approved
8/24/2018,SO/U1-1/08-2018/427,Plg 12375864,Perorangan,Pry rdm8x097,K-250,Pulo Gadung,2809125,Approved
8/24/2018,SO/U1-1/08-2018/428,Plg 12376458,Perorangan,Pry rdm8x079,K-300,Pulo Gadung,4213688,Approved
8/24/2018,SO/U1-1/08-2018/440,Plg 12376485,PT,Pry rdm8x907,K-225,Pulo Gadung,5618250,Approved
8/24/2018,SO/U1-1/08-2018/441,Plg 12376548,PT,Pry rdm8x970,K-300,Pulo Gadung,6429500,Approved
8/24/2018,SO/U1-1/08-2018/442,Plg 12376548,PT,Pry rdm8x970,K-300,Pulo Gadung,5511000,Approved
8/24/2018,SO/U1-1/08-2018/455,Plg 12376584,Perorangan,Pry rdm9870x,K-300,Pulo Gadung,3609375,Approved
8/25/2018,SO/U1-1/08-2018/457,Plg 12376845,PT,Pry rdm8x709,K-100,Pulo Gadung,25300000,Approved
8/26/2018,SO/U1-1/08-2018/462,Plg 12365487,PT,Pry rdm079x8,K-250,Pulo Gadung,47437500,Approved
8/26/2018,SO/U1-1/08-2018/463,Plg 12365487,PT,Pry rdm079x8,K-300,Pulo Gadung,17820000,Approved
8/26/2018,SO/U1-1/08-2018/464,Plg 12376845,PT,Pry rdm8x709,K-300 N,Pulo Gadung,76201125,Approved
8/27/2018,SO/U1-1/08-2018/465,Plg 12376854,PT,Pry rdm0987x,K-250,Pulo Gadung,6506500,Approved
8/27/2018,SO/U1-1/08-2018/466,Plg 12376854,PT,Pry rdm0987x,K-250,Pulo Gadung,13013000,Approved
8/27/2018,SO/U1-1/08-2018/467,Plg 12378456,Perorangan,Pry rdm8x790,K-275,Pulo Gadung,8542875,Approved
8/27/2018,SO/U1-1/08-2018/468,Plg 12378465,Perorangan,Pry rdm80x97,K-225,Pulo Gadung,3850000,Approved
8/27/2018,SO/U1-1/08-2018/469,Plg 12378546,Perorangan,Pry rdm0x879,K-250,Pulo Gadung,18122500,Approved
8/27/2018,SO/U1-1/08-2018/470,Plg 12378564,Perorangan,Pry rdm90x78,K-300,Pulo Gadung,11515000,Approved
8/27/2018,SO/U1-1/08-2018/478,Plg 12378645,PT,Pry rdmx0798,K-225,Pulo Gadung,10027875,Approved
8/27/2018,SO/U1-1/08-2018/484,Plg 12378654,Perorangan,Pry rdm90x78,K-300 N,Pulo Gadung,9116250,Approved
8/27/2018,SO/U1-1/08-2018/485,Plg 12378654,Perorangan,Pry rdm90x78,K-350 N,Pulo Gadung,33709500,Approved
8/27/2018,SO/U1-1/08-2018/486,Plg 12378654,Perorangan,Pry rdm90x78,K-300 N,Pulo Gadung,68371875,Approved
8/28/2018,SO/U1-1/08-2018/505,Plg 12384567,Perorangan,Pry rdm0x879,K-300,Cakung,73700000,Approved
8/28/2018,SO/U1-1/08-2018/506,Plg 12384576,Perorangan,Pry rdm80x79,K-300,Cakung,66528000,Approved
8/28/2018,SO/U1-1/08-2018/521,Plg 12365874,PT,Pry rdm087x9,Fc-29.05 N,Pulo Gadung,292520250,Approved
8/28/2018,SO/U1-1/08-2018/523,Plg 12384657,PT,Pry rdm809x7,K-300,Cakung,6419875,Approved
8/28/2018,SO/U1-1/08-2018/524,Plg 12384675,Perorangan,Pry rdm8097x,K-250,Cakung,45581250,Approved
8/28/2018,SO/U1-1/08-2018/525,Plg 12384756,Perorangan,Pry rdm807x9,K-300,Cakung,9363750,Approved
8/28/2018,SO/U1-1/08-2018/527,Plg 12384765,Perorangan,Pry rdm8079x,K-350,Cakung,7590000,Approved
8/28/2018,SO/U1-1/08-2018/528,Plg 12385467,Perorangan,Pry rdmx0798,K-300,Cakung,15200625,Approved
8/28/2018,SO/U1-1/08-2018/529,Plg 12385476,Perorangan,Pry rdm809x7,K-300,Cakung,3850000,Approved
8/28/2018,SO/U1-1/08-2018/530,Plg 12385476,Perorangan,Pry rdm809x7,K-300,Cakung,3850000,Approved
8/29/2018,SO/U1-1/08-2018/531,Plg 12385647,PT,Pry rdm89x07,K-300,Pulo Gadung,27335000,Approved
8/29/2018,SO/U1-1/08-2018/533,Plg 12374568,Perorangan,Pry rdm980x7,K-350,Cakung,184250000,Approved
8/29/2018,SO/U1-1/08-2018/542,Plg 12378564,Perorangan,Pry rdm90x78,K-300,Cakung,188188000,Approved
8/29/2018,SO/U1-1/08-2018/543,Plg 12385674,Perorangan,Pry rdm90x78,K-225,Cakung,12512500,Approved
8/29/2018,SO/U1-1/08-2018/544,Plg 12385746,Perorangan,Pry rdm90x78,K-450,Cakung,8294000,Approved
8/29/2018,SO/U1-1/08-2018/545,Plg 12385764,PT,Pry rdm89x70,K-350,Cakung,13160813,Approved
8/29/2018,SO/U1-1/08-2018/546,Plg 12385764,PT,Pry rdm89x70,K-350,Cakung,999625,Approved
8/29/2018,SO/U1-1/08-2018/547,Plg 12385764,PT,Pry rdm89x70,K-350,Cakung,6997375,Approved
8/29/2018,SO/U1-1/08-2018/550,Plg 12367845,PT,Pry rdm90x87,K-225 N,Cakung,900625,Approved
8/29/2018,SO/U1-1/08-2018/551,Plg 12367845,PT,Pry rdm90x87,K-225 N,Cakung,1801250,Approved
8/29/2018,SO/U1-1/08-2018/552,Plg 12386457,PT,Pry rdm08x97,K-225,Cakung,5013938,Approved
8/29/2018,SO/U1-1/08-2018/553,Plg 12386457,PT,Pry rdm08x97,K-225,Cakung,3190688,Approved
8/29/2018,SO/U1-1/08-2018/554,Plg 12386475,Perorangan,Pry rdm890x7,K-350,Cakung,66825000,Approved
9/30/2019,SO/U1-1/09-2019/1878,Plg 12437586,PT,Pry rdm79x80,K-300,Pulo Gadung,6435000,Approved
8/29/2018,SO/U1-1/08-2018/555,Plg 12386547,Perorangan,Pry rdm8907x,K-250,Cakung,18232500,Approved
8/29/2018,SO/U1-1/08-2018/556,Plg 12386574,Perorangan,Pry rdm897x0,K-225,Cakung,5362500,Approved
8/29/2018,SO/U1-1/08-2018/557,Plg 12386574,Perorangan,Pry rdm8970x,K-225,Cakung,4372500,Approved
8/29/2018,SO/U1-1/08-2018/558,Plg 12386745,PT,Pry rdm87x09,K-225,Cakung,3498000,Approved
8/29/2018,SO/U1-1/08-2018/559,Plg 12386754,PT,Pry rdm890x7,K-300,Cakung,7026250,Approved
8/29/2018,SO/U1-1/08-2018/560,Plg 12386754,PT,Pry rdm890x7,K-200,Cakung,4434375,Approved
8/30/2018,SO/U1-1/08-2018/570,Plg 12365784,Perorangan,Pry rdm078x9,K-250 N,Pulo Gadung,21285000,Approved
8/31/2018,SO/U1-1/08-2018/571,Plg 12368574,Perorangan,Pry rdm0x879,K-300 N,Pulo Gadung,64975625,Approved
8/31/2018,SO/U1-1/08-2018/585,Plg 12365874,PT,Pry rdm087x9,"Fc-29.05 N,Fc-29.05 N",Pulo Gadung,393525000,Approved
8/31/2018,SO/U1-1/08-2018/586,Plg 12365874,PT,Pry rdm087x9,Fc-29.05 N,Pulo Gadung,327937500,Approved
8/31/2018,SO/U1-1/08-2018/587,Plg 12387456,Perorangan,Pry rdmx0798,K-300 N,Pulo Gadung,17421250,Approved
8/31/2018,SO/U1-1/08-2018/588,Plg 12387456,Perorangan,Pry rdmx0798,"K-300 ,K-300 N",Pulo Gadung,14300688,Approved
8/31/2018,SO/U1-1/08-2018/589,Plg 12376845,PT,Pry rdm8x709,K-300 N,Pulo Gadung,63063000,Approved
8/2/2019,SO/U1-1/08-2019/1617,Plg 12358467,PT,Pry rdm098x7,K-350,Pulo Gadung,17869500,Approved
8/2/2019,SO/U1-1/08-2019/1618,Plg 12387465,Perorangan,Pry rdmx0798,K-225,Cakung,10642500,Approved
8/6/2019,SO/U1-1/08-2019/1619,Plg 12358467,PT,Pry rdm098x7,K-350,Pulo Gadung,7524000,Approved
8/12/2019,SO/U1-1/08-2019/1663,Plg 12387546,Perorangan,Pry rdm90x78,K-275,Cakung,10300125,Approved
8/26/2019,SO/U1-1/08-2019/1700,Plg 12387564,Perorangan,Pry rdm87x90,K-300,Pulo Gadung,990000000,Approved
9/1/2018,SO/U1-1/09-2018/613,Plg 12387645,Perorangan,Pry rdm870x9,K-225,Pulo Gadung,5247000,Approved
9/1/2018,SO/U1-1/09-2018/614,Plg 12376845,PT,Pry rdm8x709,K-400 N,Pulo Gadung,28998750,Approved
9/1/2018,SO/U1-1/09-2018/615,Plg 12368574,Perorangan,Pry rdm0x879,K-300 N,Pulo Gadung,49981250,Approved
9/2/2018,SO/U1-1/09-2018/616,Plg 12368574,Perorangan,Pry rdm0x879,K-300,Pulo Gadung,49981250,Approved
9/1/2018,SO/U1-1/09-2018/617,Plg 12368574,Perorangan,Pry rdm0x879,K-300 N,Pulo Gadung,17993250,Approved
9/1/2018,SO/U1-1/09-2018/618,Plg 12368574,Perorangan,Pry rdm0x879,K-300,Pulo Gadung,1999250,Approved
9/2/2018,SO/U1-1/09-2018/619,Plg 12387654,PT,Pry rdm8709x,K-300,Cakung,21188750,Approved
9/1/2018,SO/U1-1/09-2018/620,Plg 12347586,PT,Pry rdm879x0,K-225,Cakung,4434375,Approved
9/1/2018,SO/U1-1/09-2018/621,Plg 12435678,PT,Pry rdm8790x,K-350,Cakung,11550000,Approved
9/2/2018,SO/U1-1/09-2018/622,Plg 12435678,PT,Pry rdm8790x,K-350,Cakung,13475000,Approved
9/1/2018,SO/U1-1/09-2018/623,Plg 12435687,Perorangan,Pry rdm8x097,K-225,Cakung,6381375,Approved
9/2/2018,SO/U1-1/09-2018/624,Plg 12435768,Perorangan,Pry rdm7x098,K-300,Cakung,9088750,Approved
9/2/2018,SO/U1-1/09-2018/626,Plg 12365487,PT,Pry rdm079x8,K-250,Pulo Gadung,47437500,Approved
9/2/2018,SO/U1-1/09-2018/627,Plg 12365487,PT,Pry rdm079x8,K-300,Pulo Gadung,31680000,Approved
9/3/2018,SO/U1-1/09-2018/632,Plg 12357684,PT,Pry rdm7x089,K-300,Pulo Gadung,41250000,Approved
9/3/2018,SO/U1-1/09-2018/645,Plg 12365487,PT,Pry rdm079x8,K-300,Pulo Gadung,4950000,Approved
